|country|points|price
1274|France|92|29.0
1275|New Zealand|84|19.0
1276|US|89|36.0
1277|Italy|89|33.0
1278|US|92|44.0
1279|Italy|86|
1280|US|93|24.0
1281|Italy|87|15.0
1282|Spain|84|17.0
1283|Italy|92|30.0
1284|Portugal|84|8.0
1285|Australia|90|20.0
1286|US|87|20.0
1287|Spain|87|8.0
1288|US|86|15.0
1289|France|90|
1290|Italy|85|16.0
1291|Italy|89|33.0
1292|US|87|34.0
1293|US|86|60.0
1294|Spain|91|29.0
1295|US|90|15.0
1296|France|97|281.0
1297|US|83|5.0
1298|US|82|25.0
1299|France|88|
1300|Australia|88|33.0
1301|Australia|86|15.0
1302|Israel|86|30.0
1303|US|84|15.0
1304|Italy|95|
1305|US|92|50.0
1306|US|86|25.0
1307|US|94|65.0
1308|US|92|75.0
1309|US|85|22.0
1310|Chile|87|15.0
1311|Australia|83|9.0
1312|US|88|24.0
1313|France|93|
1314|Italy|88|
1315|Chile|91|50.0
1316|Portugal|87|
1317|France|92|30.0
1318|US|81|51.0
1319|Chile|89|38.0
1320|US|82|18.0
1321|France|90|
1322|US|93|59.0
1323|US|86|25.0
1324|Portugal|89|25.0
1325|France|86|
1326|US|84|21.0
1327|US|93|45.0
1328|France|84|
1329|France|86|15.0
1330|Argentina|80|8.0
1331|Italy|90|39.0
1332|US|89|30.0
1333|US|86|13.0
1334|Argentina|87|10.0
1335|Italy|92|97.0
1336|US|86|42.0
1337|US|92|35.0
1338|Chile|86|13.0
1339|US|87|35.0
1340|Italy|86|
1341|France|92|
1342|Italy|90|
1343|Argentina|89|22.0
1344|France|91|55.0
1345|Italy|83|
1346|Italy|92|65.0
1347|US|93|65.0
1348|Australia|91|65.0
1349|US|91|28.0
1350|Italy|87|65.0
1351|Austria|93|
1352|Italy|88|21.0
1353|Spain|90|35.0
1354|Italy|86|26.0
1355|Italy|88|21.0
1356|US|86|35.0
1357|South Africa|86|15.0
1358|US|82|27.0
1359|Italy|87|33.0
1360|US|94|60.0
1361|Portugal|88|13.0
1362|France|87|35.0
1363|US|95|100.0
1364|Italy|88|23.0
1365|France|93|
1366|US|85|10.0
1367|New Zealand|89|32.0
1368|US|87|22.0
1369|France|91|114.0
1370|US|87|39.0
1371|US|82|12.0
1372|Italy|86|14.0
1373|US|86|25.0
1374|Portugal|89|28.0
1375|US|92|60.0
1376|France|85|
1377|Argentina|91|90.0
1378|US|86|20.0
1379|Italy|88|80.0
1380|Italy|86|
1381|New Zealand|88|20.0
1382|US|86|24.0
1383|US|87|25.0
1384|Germany|89|20.0
1385|Austria|90|22.0
1386|US|84|14.0
1387|France|92|
1388|New Zealand|86|20.0
1389|Italy|89|30.0
1390|US|87|20.0
1391|US|90|85.0
1392|Germany|87|13.0
1393|Australia|85|25.0
1394|France|83|10.0
1395|Canada|88|15.0
1396|US|87|32.0
1397|Italy|88|16.0
1398|Spain|81|21.0
1399|New Zealand|90|
1400|US|87|17.0
1401|US|85|15.0
1402|Italy|87|12.0
1403|Australia|84|18.0
1404|Italy|86|13.0
1405|US|91|48.0
1406|Germany|84|14.0
1407|Germany|90|16.0
1408|Italy|81|30.0
1409|Italy|88|9.0
1410|US|88|18.0
1411|US|87|28.0
1412|US|92|48.0
1413|US|85|19.0
1414|US|85|30.0
1415|US|87|11.0
1416|US|88|28.0
1417|US|90|32.0
1418|US|84|25.0
1419|Greece|84|14.0
1420|US|88|33.0
1421|US|83|25.0
1422|France|89|
1423|Italy|88|20.0
1424|Italy|93|75.0
1425|Italy|91|70.0
1426|Spain|85|9.0
1427|US|90|32.0
1428|US|84|34.0
1429|US|91|40.0
1430|Italy|87|15.0
1431|Italy|88|
1432|US|88|18.0
1433|Australia|83|10.0
1434|New Zealand|90|18.0
1435|US|90|30.0
1436|US|87|45.0
1437|Chile|95|90.0
1438|Italy|87|9.0
1439|Italy|90|45.0
1440|US|88|19.0
1441|Chile|84|12.0
1442|Portugal|90|9.0
1443|Portugal|83|
1444|Italy|87|35.0
1445|US|83|20.0
1446|US|92|25.0
1447|US|88|32.0
1448|US|92|48.0
1449|Italy|85|16.0
1450|India|82|20.0
1451|Chile|81|14.0
1452|US|86|38.0
1453|France|90|
1454|US|91|36.0
1455|Italy|87|15.0
1456|US|92|30.0
1457|Austria|97|125.0
1458|US|85|35.0
1459|Italy|93|62.0
1460|France|85|
1461|Portugal|88|60.0
1462|Italy|87|
1463|Italy|89|
1464|Italy|85|
1465|US|93|58.0
1466|Argentina|88|50.0
1467|Australia|87|15.0
1468|France|91|35.0
1469|US|86|18.0
1470|Italy|95|85.0
1471|US|86|25.0
1472|Chile|88|17.0
1473|US|82|15.0
1474|US|91|30.0
1475|Germany|86|
1476|US|89|55.0
1477|Austria|87|
1478|Portugal|87|
1479|US|82|30.0
1480|US|85|18.0
1481|Portugal|90|30.0
1482|France|90|27.0
1483|Italy|87|20.0
1484|US|87|12.0
1485|France|95|
1486|US|91|42.0
1487|Spain|85|16.0
1488|Germany|93|56.0
1489|US|82|22.0
1490|Argentina|81|6.0
1491|Italy|88|30.0
1492|US|85|9.0
1493|Portugal|92|48.0
1494|Argentina|86|20.0
1495|US|88|39.0
1496|Chile|83|10.0
1497|US|85|29.0
1498|US|83|18.0
1499|US|91|55.0
1500|France|90|
1501|Italy|92|
1502|US|87|28.0
1503|US|83|18.0
1504|Argentina|83|14.0
1505|France|95|357.0
1506|US|88|13.0
1507|France|88|45.0
1508|New Zealand|90|25.0
1509|Germany|87|38.0
1510|Spain|86|8.0
1511|Spain|86|10.0
1512|US|87|15.0
1513|US|86|45.0
1514|US|86|75.0
1515|US|87|55.0
1516|US|82|20.0
1517|US|80|14.0
1518|US|90|75.0
1519|Germany|89|24.0
1520|Italy|88|26.0
1521|US|90|75.0
1522|US|85|50.0
1523|Italy|88|34.0
1524|US|88|35.0
1525|New Zealand|88|20.0
1526|US|86|13.0
1527|US|90|30.0
1528|US|91|32.0
1529|Italy|87|15.0
1530|US|91|49.0
1531|Argentina|90|28.0
1532|US|86|17.0
1533|Portugal|88|14.0
1534|US|89|25.0
1535|France|82|40.0
1536|US|82|20.0
1537|US|87|16.0
1538|US|93|70.0
1539|US|87|20.0
1540|Italy|87|25.0
1541|Argentina|83|13.0
1542|US|86|29.0
1543|Italy|90|45.0
1544|US|89|37.0
1545|US|86|16.0
1546|France|89|30.0
1547|Italy|92|
1548|South Africa|84|9.0
1549|US|88|10.0
1550|Italy|87|19.0
1551|Italy|87|12.0
1552|US|83|24.0
1553|Italy|85|13.0
1554|US|86|18.0
1555|Portugal|87|9.0
1556|Chile|84|11.0
1557|US|88|17.0
1558|Germany|88|20.0
1559|US|85|29.0
1560|New Zealand|88|29.0
1561|US|89|35.0
1562|US|91|30.0
1563|Italy|82|12.0
1564|US|87|8.0
1565|Argentina|89|20.0
1566|US|88|30.0
1567|Germany|87|10.0
1568|Portugal|83|16.0
1569|US|87|25.0
1570|Italy|85|10.0
1571|US|87|20.0
1572|US|88|45.0
1573|US|90|50.0
1574|France|84|14.0
1575|Romania|84|10.0
1576|Australia|87|31.0
1577|US|86|52.0
1578|France|94|38.0
1579|France|90|23.0
1580|Italy|91|37.0
1581|Portugal|84|8.0
1582|Argentina|86|11.0
1583|Italy|90|
1584|US|84|41.0
1585|France|88|50.0
1586|US|86|21.0
1587|France|89|22.0
1588|US|86|19.0
1589|US|89|38.0
1590|Argentina|90|28.0
1591|Spain|85|12.0
1592|France|91|18.0
1593|US|86|38.0
1594|Italy|90|32.0
1595|US|90|42.0
1596|US|93|48.0
1597|US|87|50.0
1598|Australia|90|40.0
1599|US|88|28.0
1600|US|88|12.0
1601|US|84|24.0
1602|New Zealand|89|22.0
1603|France|89|17.0
1604|New Zealand|85|
1605|US|86|90.0
1606|US|93|50.0
1607|US|90|25.0
1608|US|91|65.0
1609|France|87|21.0
1610|US|86|17.0
1611|Italy|87|
1612|US|84|58.0
1613|Austria|88|
1614|US|87|12.0
1615|Germany|84|24.0
1616|US|91|60.0
1617|Italy|92|
1618|Italy|94|29.0
1619|US|83|30.0
1620|Portugal|90|
1621|Italy|87|16.0
1622|US|92|60.0
1623|US|89|42.0
1624|US|85|15.0
1625|Italy|90|74.0
1626|Australia|85|10.0
1627|Argentina|88|25.0
1628|Australia|89|
1629|Spain|83|10.0
1630|Italy|85|
1631|Chile|86|15.0
1632|Italy|86|15.0
1633|Greece|87|25.0
1634|US|93|30.0
1635|France|90|50.0
1636|France|88|40.0
1637|France|91|42.0
1638|US|85|14.0
1639|US|90|42.0
1640|Germany|86|23.0
1641|US|84|22.0
1642|US|89|25.0
1643|US|87|86.0
1644|US|82|19.0
1645|Austria|90|30.0
1646|US|89|32.0
1647|US|94|95.0
1648|Argentina|87|12.0
1649|Italy|90|12.0
1650|US|90|18.0
1651|Argentina|83|10.0
1652|US|81|12.0
1653|US|92|19.0
1654|US|88|54.0
1655|US|94|40.0
1656|US|91|110.0
1657|US|85|16.0
1658|Greece|86|37.0
1659|Spain|86|10.0
1660|US|82|12.0
1661|South Africa|84|24.0
1662|US|84|14.0
1663|US|94|120.0
1664|Italy|89|22.0
1665|Spain|82|15.0
1666|France|91|20.0
1667|Spain|83|10.0
1668|Portugal|92|58.0
1669|US|85|16.0
1670|Italy|90|40.0
1671|Portugal|92|18.0
1672|US|82|15.0
1673|Australia|87|30.0
1674|Austria|86|28.0
1675|US|85|18.0
1676|US|91|55.0
1677|France|85|12.0
1678|US|87|32.0
1679|Italy|91|40.0
1680|US|88|28.0
1681|US|93|40.0
1682|US|88|13.0
1683|Italy|83|25.0
1684|Italy|88|21.0
1685|US|88|30.0
1686|US|88|20.0
1687|Spain|88|45.0
1688|US|85|20.0
1689|France|95|168.0
1690|France|84|13.0
1691|US|85|14.0
1692|US|92|26.0
1693|France|87|13.0
1694|US|82|16.0
1695|US|94|65.0
1696|Italy|92|50.0
1697|South Africa|85|16.0
1698|Argentina|86|14.0
1699|US|91|20.0
1700|US|86|26.0
1701|Australia|90|74.0
1702|South Africa|84|15.0
1703|Chile|81|12.0
1704|Austria|87|15.0
1705|US|89|12.0
1706|Chile|80|11.0
1707|US|84|13.0
1708|Italy|87|28.0
1709|Argentina|85|40.0
1710|US|90|27.0
1711|US|82|35.0
1712|France|88|14.0
1713|France|85|25.0
1714|Chile|87|45.0
1715|New Zealand|85|8.0
1716|US|83|17.0
1717|US|90|45.0
1718|Italy|89|44.0
1719|US|88|150.0
1720|France|90|
1721|US|90|35.0
1722|Italy|89|25.0
1723|US|87|25.0
1724|Italy|85|12.0
1725|US|93|30.0
1726|US|89|12.0
1727|South Africa|82|13.0
1728|Argentina|92|55.0
1729|US|82|32.0
1730|US|89|24.0
1731|France|87|
1732|US|87|16.0
1733|France|89|34.0
1734|US|85|42.0
1735|France|92|60.0
1736|US|87|15.0
1737|US|87|55.0
1738|Italy|87|15.0
1739|France|90|
1740|Italy|91|45.0
1741|US|93|30.0
1742|Italy|90|
1743|US|88|17.0
1744|France|84|22.0
1745|Italy|88|25.0
1746|US|89|50.0
1747|US|88|28.0
1748|Italy|89|35.0
1749|Spain|81|6.0
1750|US|85|18.0
1751|Italy|84|18.0
1752|US|87|30.0
1753|US|91|33.0
1754|US|89|15.0
1755|Italy|86|19.0
1756|Austria|87|19.0
1757|Italy|90|24.0
1758|Austria|92|52.0
1759|France|88|65.0
1760|Italy|90|85.0
1761|South Africa|86|13.0
1762|Italy|90|
1763|France|97|229.0
1764|France|90|
1765|France|92|62.0
1766|US|87|14.0
1767|Argentina|88|11.0
1768|US|86|10.0
1769|US|90|55.0
1770|US|90|50.0
1771|US|93|85.0
1772|France|94|50.0
1773|France|87|20.0
1774|US|82|10.0
1775|France|91|110.0
1776|New Zealand|89|18.0
1777|Italy|86|16.0
1778|France|90|
1779|Italy|87|19.0
1780|Italy|88|35.0
1781|US|84|38.0
1782|US|86|35.0
1783|Argentina|91|20.0
1784|US|93|40.0
1785|US|82|27.0
1786|Italy|88|
1787|France|98|170.0
1788|Portugal|87|75.0
1789|Italy|90|26.0
1790|Chile|87|17.0
1791|US|85|30.0
1792|France|88|19.0
1793|US|90|20.0
1794|US|93|78.0
1795|US|85|20.0
1796|US|90|50.0
1797|US|92|21.0
1798|US|91|45.0
1799|France|92|
1800|Argentina|91|35.0
1801|Italy|90|32.0
1802|US|91|14.0
1803|Italy|89|55.0
1804|Portugal|87|20.0
1805|US|92|30.0
1806|US|84|24.0
1807|Greece|86|13.0
1808|US|92|14.0
1809|US|91|52.0
1810|US|88|45.0
1811|France|93|
1812|Spain|85|19.0
1813|US|84|32.0
1814|US|90|35.0
1815|US|87|10.0
1816|Argentina|83|10.0
1817|France|91|
1818|US|91|50.0
1819|Italy|91|50.0
1820|Serbia|88|20.0
1821|France|88|34.0
1822|New Zealand|89|17.0
1823|France|91|37.0
1824|US|89|50.0
1825|Australia|85|22.0
1826|Spain|83|9.0
1827|New Zealand|90|19.0
1828|Italy|85|21.0
1829|Italy|87|
1830|Italy|93|65.0
1831|US|87|18.0
1832|US|94|55.0
1833|France|84|12.0
1834|US|94|35.0
1835|Portugal|89|26.0
1836|US|88|15.0
1837|Italy|93|60.0
1838|France|91|32.0
1839|US|90|40.0
1840|New Zealand|87|15.0
1841|New Zealand|87|15.0
1842|France|95|150.0
1843|US|88|20.0
1844|US|94|32.0
1845|Italy|88|21.0
1846|Greece|86|80.0
1847|Italy|92|45.0
1848|US|92|28.0
1849|Germany|92|65.0
1850|Greece|86|12.0
1851|US|88|42.0
1852|France|88|40.0
1853|US|87|28.0
1854|Portugal|86|11.0
1855|US|86|26.0
1856|Portugal|88|65.0
1857|Spain|82|13.0
1858|Argentina|81|8.0
1859|US|88|75.0
1860|France|90|
1861|US|86|11.0
1862|US|89|37.0
1863|France|89|30.0
1864|US|85|15.0
1865|New Zealand|87|15.0
1866|Portugal|89|10.0
1867|Italy|87|16.0
1868|US|87|25.0
1869|Austria|88|36.0
1870|France|87|17.0
1871|US|88|50.0
1872|Italy|86|
1873|US|92|55.0
1874|Argentina|86|11.0
1875|Germany|90|12.0
1876|France|89|14.0
1877|US|94|110.0
1878|US|86|20.0
1879|US|87|11.0
1880|France|88|22.0
1881|France|90|
1882|France|92|35.0
1883|US|83|33.0
1884|France|90|
1885|US|84|42.0
1886|US|85|15.0
1887|US|86|22.0
1888|US|87|30.0
1889|France|90|
1890|France|84|11.0
1891|US|92|75.0
1892|Italy|91|30.0
1893|Italy|91|30.0
1894|Italy|83|16.0
1895|US|92|45.0
1896|Italy|91|48.0
1897|US|90|35.0
1898|US|95|58.0
1899|US|87|35.0
1900|US|85|15.0
1901|Italy|89|42.0
1902|France|88|27.0
1903|France|94|102.0
1904|Italy|87|19.0
1905|US|84|28.0
1906|Austria|88|16.0
1907|Chile|86|11.0
1908|Italy|91|110.0
1909|Italy|86|26.0
1910|Italy|88|50.0
1911|France|88|20.0
1912|Italy|87|12.0
1913|US|88|30.0
1914|France|92|26.0
1915|US|91|55.0
1916|US|87|13.0
1917|Spain|89|24.0
1918|US|87|18.0
1919|US|90|110.0
1920|Argentina|87|11.0
1921|Italy|88|
1922|South Africa|90|43.0
1923|US|90|30.0
1924|Italy|90|20.0
1925|US|85|18.0
1926|New Zealand|87|99.0
1927|France|88|
1928|Spain|90|14.0
1929|Italy|91|
1930|Italy|90|40.0
1931|US|87|7.0
1932|Spain|89|20.0
1933|Italy|87|
1934|US|92|38.0
1935|US|84|10.0
1936|Spain|84|10.0
1937|Austria|88|31.0
1938|Italy|87|17.0
1939|Israel|80|19.0
1940|Australia|91|70.0
1941|France|88|14.0
1942|Italy|88|26.0
1943|Italy|88|14.0
1944|Portugal|86|9.0
1945|US|89|20.0
1946|Spain|86|12.0
1947|France|91|30.0
1948|Italy|90|35.0
1949|Italy|89|24.0
1950|US|83|20.0
1951|Australia|91|22.0
1952|US|95|50.0
1953|US|82|22.0
1954|US|85|36.0
1955|Portugal|91|35.0
1956|Australia|87|20.0
1957|France|85|24.0
1958|Italy|88|13.0
1959|US|87|18.0
1960|France|89|17.0
1961|US|88|37.0
1962|Italy|92|
1963|Italy|87|25.0
1964|US|90|30.0
1965|Spain|83|35.0
1966|France|88|23.0
1967|US|82|22.0
1968|Germany|87|16.0
1969|Greece|89|40.0
1970|Spain|93|62.0
1971|US|87|15.0
1972|US|86|40.0
1973|US|84|21.0
1974|France|93|
1975|US|85|15.0
1976|US|88|25.0
1977|France|84|
1978|Chile|84|10.0
1979|Chile|83|17.0
1980|Spain|88|10.0
1981|US|94|60.0
1982|US|80|17.0
1983|Italy|88|13.0
1984|Italy|88|
1985|Austria|87|16.0
1986|US|90|28.0
1987|France|90|47.0
1988|US|88|18.0
1989|Italy|92|45.0
1990|New Zealand|86|19.0
1991|France|89|20.0
1992|US|83|17.0
1993|Australia|88|20.0
1994|France|82|55.0
1995|US|87|15.0
1996|US|83|30.0
1997|Italy|89|16.0
1998|US|91|20.0
1999|US|84|7.0
2000|Italy|86|
2001|Italy|88|15.0
2002|US|88|30.0
2003|France|85|13.0
2004|US|92|34.0
2005|Portugal|90|
2006|Italy|86|25.0
2007|US|89|35.0
2008|US|86|15.0
2009|Italy|98|225.0
2010|US|88|28.0
2011|France|83|
2012|US|92|40.0
2013|US|98|147.0
2014|France|87|44.0
2015|France|89|25.0
2016|Italy|91|73.0
2017|US|87|35.0
2018|US|92|36.0
2019|US|92|48.0
2020|US|87|40.0
2021|Australia|84|12.0
2022|US|83|20.0
2023|US|91|29.0
2024|France|89|20.0
2025|Italy|88|48.0
2026|US|83|32.0
2027|US|86|12.0
2028|New Zealand|90|20.0
2029|Chile|86|12.0
2030|Portugal|91|20.0
2031|US|86|12.0
2032|Germany|89|23.0
2033|Germany|87|18.0
2034|US|93|46.0
2035|Italy|88|28.0
2036|France|91|
2037|New Zealand|85|28.0
2038|Italy|86|16.0
2039|France|94|
2040|US|83|10.0
2041|Spain|81|13.0
2042|US|86|38.0
2043|US|88|35.0
2044|Italy|86|11.0
2045|France|91|42.0
2046|US|82|35.0
2047|Portugal|94|
2048|France|91|
2049|Italy|86|16.0
2050|Spain|87|41.0
2051|US|88|34.0
2052|France|91|22.0
2053|Portugal|91|18.0
2054|South Africa|88|16.0
2055|Argentina|81|7.0
2056|US|89|40.0
2057|US|84|15.0
2058|US|92|39.0
2059|Moldova|83|16.0
2060|US|90|28.0
2061|South Africa|87|14.0
2062|US|94|70.0
2063|Chile|88|24.0
2064|US|86|22.0
2065|US|82|13.0
2066|Portugal|86|10.0
2067|US|84|50.0
2068|Spain|87|27.0
2069|France|87|22.0
2070|US|88|55.0
2071|Spain|90|15.0
2072|Italy|86|
2073|US|87|14.0
2074|US|89|20.0
2075|Italy|84|
2076|US|91|20.0
2077|US|82|23.0
2078|Spain|84|10.0
2079|France|86|16.0
2080|US|87|24.0
2081|Spain|90|15.0
2082|Italy|91|30.0
2083|US|83|21.0
2084|Argentina|87|18.0
2085|US|92|38.0
2086|France|87|
2087|Italy|86|18.0
2088|US|87|24.0
2089|Italy|92|45.0
2090|Italy|87|22.0
2091|Spain|92|45.0
2092|US|88|40.0
2093|France|90|85.0
2094|US|90|16.0
2095|US|86|25.0
2096|Spain|89|16.0
2097|US|80|17.0
2098|US|87|41.0
2099|US|86|275.0
2100|Italy|86|10.0
2101|US|87|32.0
2102|France|89|
2103|Italy|88|16.0
2104|France|95|
2105|Italy|90|55.0
2106|Italy|89|20.0
2107|US|87|20.0
2108|Argentina|85|11.0
2109|Italy|91|45.0
2110|Spain|84|22.0
2111|Spain|87|11.0
2112|France|89|
2113|US|84|20.0
2114|US|93|42.0
2115|US|89|19.0
2116|US|95|38.0
2117|Italy|87|
2118|Portugal|89|
2119|US|86|15.0
2120|US|93|79.0
2121|Italy|88|50.0
2122|Spain|82|15.0
2123|US|84|18.0
2124|Portugal|83|16.0
2125|Greece|89|21.0
2126|Spain|85|14.0
2127|US|87|48.0
2128|Italy|86|31.0
2129|Australia|86|60.0
2130|New Zealand|87|15.0
2131|US|87|13.0
2132|Chile|85|15.0
2133|Spain|85|30.0
2134|US|87|39.0
2135|Italy|90|
2136|France|89|30.0
2137|France|85|17.0
2138|Chile|85|7.0
2139|US|90|18.0
2140|Greece|87|25.0
2141|US|87|35.0
2142|Argentina|82|18.0
2143|New Zealand|90|40.0
2144|Italy|92|70.0
2145|France|93|100.0
2146|Italy|93|60.0
2147|Italy|87|
2148|US|82|13.0
2149|US|86|17.0
2150|US|91|16.0
2151|Spain|88|15.0
2152|US|86|32.0
2153|Portugal|87|12.0
2154|Italy|88|
2155|New Zealand|88|17.0
2156|US|87|8.0
2157|Italy|85|16.0
2158|France|87|20.0
2159|US|89|36.0
2160|France|85|105.0
2161|Australia|90|70.0
2162|US|92|65.0
2163|France|86|19.0
2164|Portugal|85|12.0
2165|US|84|12.0
2166|US|94|300.0
2167|US|88|20.0
2168|US|90|18.0
2169|France|88|12.0
2170|US|93|35.0
2171|Italy|89|22.0
2172|Portugal|86|85.0
2173|Italy|88|21.0
2174|US|84|28.0
2175|Spain|85|14.0
2176|New Zealand|85|12.0
2177|Italy|94|125.0
2178|Spain|91|22.0
2179|US|83|23.0
2180|Italy|87|15.0
2181|France|89|29.0
2182|Germany|84|20.0
2183|Italy|90|42.0
2184|Chile|86|13.0
2185|US|92|32.0
2186|US|85|15.0
2187|France|89|
2188|Italy|90|56.0
2189|Spain|87|15.0
2190|New Zealand|92|55.0
2191|US|89|42.0
2192|Australia|85|13.0
2193|Spain|88|16.0
2194|US|86|16.0
2195|US|92|24.0
2196|US|82|17.0
2197|US|84|12.0
2198|New Zealand|90|45.0
2199|US|86|62.0
2200|Argentina|85|25.0
2201|US|91|28.0
2202|US|91|41.0
2203|US|85|52.0
2204|Chile|88|55.0
2205|Portugal|88|15.0
2206|US|84|30.0
2207|Italy|89|38.0
2208|Portugal|88|15.0
2209|US|88|32.0
2210|Italy|89|24.0
2211|Australia|89|28.0
2212|South Africa|90|15.0
2213|France|91|22.0
2214|Chile|90|21.0
2215|France|94|50.0
2216|US|87|30.0
2217|US|88|28.0
2218|Spain|83|19.0
2219|France|89|
2220|US|93|50.0
2221|US|85|13.0
2222|Italy|94|100.0
2223|France|88|24.0
2224|Cyprus|89|20.0
2225|Slovenia|92|50.0
2226|US|85|17.0
2227|US|86|36.0
2228|US|89|20.0
2229|Spain|86|12.0
2230|Italy|94|
2231|US|87|14.0
2232|South Africa|91|26.0
2233|US|92|30.0
2234|US|93|50.0
2235|South Africa|86|10.0
2236|Italy|93|
2237|US|92|45.0
2238|US|85|23.0
2239|Austria|90|48.0
2240|South Africa|85|10.0
2241|US|90|32.0
2242|Portugal|88|18.0
2243|US|94|38.0
2244|France|84|12.0
2245|France|85|22.0
2246|France|89|20.0
2247|South Africa|89|18.0
2248|Austria|91|40.0
2249|Italy|87|20.0
2250|Argentina|88|12.0
2251|Austria|91|
2252|Italy|87|15.0
2253|Chile|87|12.0
2254|US|90|60.0
2255|Chile|89|25.0
2256|US|94|32.0
2257|US|93|44.0
2258|France|86|
2259|US|87|22.0
2260|US|88|40.0
2261|France|90|80.0
2262|Italy|84|11.0
2263|Argentina|83|13.0
2264|US|83|21.0
2265|Italy|91|
2266|France|86|
2267|US|91|30.0
2268|Italy|83|10.0
2269|Argentina|92|18.0
2270|US|89|38.0
2271|France|89|21.0
2272|Italy|93|
2273|Italy|90|45.0
2274|US|85|28.0
2275|US|90|30.0
2276|Spain|92|70.0
2277|Argentina|87|27.0
2278|US|94|125.0
2279|Chile|93|69.0
2280|US|89|12.0
2281|Spain|86|19.0
2282|US|84|25.0
2283|US|90|25.0
2284|Italy|84|8.0
2285|Italy|86|11.0
2286|US|85|20.0
2287|US|85|30.0
2288|France|92|
2289|Austria|95|
2290|US|91|25.0
2291|Portugal|96|200.0
2292|Italy|88|40.0
2293|US|90|50.0
2294|Argentina|84|12.0
2295|US|86|40.0
2296|US|88|36.0
2297|US|91|25.0
2298|Italy|88|40.0
2299|US|84|14.0
2300|US|89|60.0
2301|US|82|14.0
2302|Italy|83|18.0
2303|US|88|18.0
2304|Italy|87|14.0
2305|Australia|89|17.0
2306|France|82|
2307|US|86|15.0
2308|US|85|65.0
2309|US|87|28.0
2310|US|87|50.0
2311|US|89|42.0
2312|US|86|18.0
2313|Italy|87|32.0
2314|US|85|22.0
2315|US|87|48.0
2316|France|93|
2317|US|80|12.0
2318|US|88|28.0
2319|US|84|36.0
2320|Australia|88|13.0
2321|Israel|87|16.0
2322|US|88|22.0
2323|Australia|86|10.0
2324|Italy|91|50.0
2325|US|90|30.0
2326|Italy|88|
2327|France|80|11.0
2328|Spain|89|20.0
2329|Italy|87|20.0
2330|Portugal|85|14.0
2331|US|91|38.0
2332|Italy|86|
2333|US|86|16.0
2334|France|90|20.0
2335|New Zealand|89|14.0
2336|US|88|12.0
2337|Chile|87|17.0
2338|France|92|59.0
2339|US|90|25.0
2340|US|93|58.0
2341|US|92|34.0
2342|Italy|90|75.0
2343|France|87|23.0
2344|US|83|28.0
2345|US|84|14.0
2346|France|91|
2347|Italy|84|12.0
2348|Italy|88|27.0
2349|France|86|30.0
2350|Portugal|88|
2351|US|94|75.0
2352|New Zealand|89|
2353|Germany|87|14.0
2354|US|83|19.0
2355|France|87|10.0
2356|Italy|89|73.0
2357|US|88|22.0
2358|France|87|49.0
2359|Australia|87|11.0
2360|US|88|75.0
2361|Italy|88|69.0
2362|US|85|30.0
2363|Portugal|89|11.0
2364|US|91|42.0
2365|Spain|85|10.0
2366|France|90|54.0
2367|Italy|89|50.0
2368|Australia|95|84.0
2369|Italy|87|14.0
2370|Argentina|86|12.0
2371|Germany|86|28.0
2372|France|89|21.0
2373|US|88|19.0
2374|France|89|
2375|Italy|86|19.0
2376|Argentina|95|50.0
2377|Germany|90|32.0
2378|US|86|56.0
2379|France|86|
2380|Austria|89|24.0
2381|US|83|15.0
2382|US|85|18.0
2383|France|92|
2384|US|88|24.0
2385|US|88|26.0
2386|France|82|17.0
2387|US|88|29.0
2388|Italy|85|10.0
2389|US|87|14.0
2390|US|86|45.0
2391|US|88|15.0
2392|Italy|89|
2393|US|93|30.0
2394|US|86|24.0
2395|Australia|91|24.0
2396|Australia|85|13.0
2397|Italy|85|
2398|US|93|55.0
2399|US|89|12.0
2400|Italy|86|21.0
2401|Italy|90|88.0
2402|US|93|75.0
2403|Chile|84|10.0
2404|US|84|16.0
2405|Italy|87|28.0
2406|Israel|86|25.0
2407|France|90|19.0
2408|France|88|42.0
2409|Australia|87|19.0
2410|Italy|87|20.0
2411|US|87|29.0
2412|US|93|45.0
2413|Greece|82|18.0
2414|Italy|94|
2415|US|87|34.0
2416|US|87|20.0
2417|US|86|13.0
2418|US|91|59.0
2419|Argentina|87|9.0
2420|Italy|89|80.0
2421|US|85|24.0
2422|Austria|87|15.0
2423|US|84|9.0
2424|France|87|25.0
2425|US|86|35.0
2426|US|84|35.0
2427|Italy|88|26.0
2428|Italy|92|120.0
2429|US|88|15.0
2430|Portugal|90|26.0
2431|Italy|87|21.0
2432|Austria|88|
2433|US|82|10.0
2434|France|91|
2435|South Africa|87|12.0
2436|Argentina|84|8.0
2437|US|85|12.0
2438|US|90|45.0
2439|Italy|89|22.0
2440|US|81|26.0
2441|Argentina|91|34.0
2442|Australia|86|14.0
2443|Chile|86|12.0
2444|US|86|48.0
2445|US|87|16.0
2446|Chile|85|12.0
2447|France|84|11.0
2448|France|85|15.0
2449|Italy|88|20.0
2450|Argentina|87|15.0
2451|US|85|150.0
2452|Italy|90|78.0
2453|Italy|88|20.0
2454|US|85|17.0
2455|US|87|15.0
2456|Italy|87|20.0
2457|Italy|93|130.0
2458|Italy|90|20.0
2459|Chile|83|15.0
2460|France|87|10.0
2461|US|90|20.0
2462|France|93|
2463|US|88|24.0
2464|Italy|86|10.0
